model,gamma,alpha,pred_length,mae,mse,rmse,mape,mspe
Crossformer,0.5,0.0,96,0.7989684343338013,1.0195368528366089,1.0097211599349976,1.2164849042892456,34.285430908203125
Crossformer,0.5,0.0,192,0.7964762449264526,1.0137144327163696,1.0068339109420776,1.1815080642700195,22.435213088989258
Crossformer,0.5,0.2,96,0.7894824147224426,0.9736958742141724,0.9867603182792664,1.3523014783859253,185.1918182373047
Crossformer,0.5,0.2,192,0.7912986874580383,0.9747464060783386,0.987292468547821,1.2302333116531372,75.95561218261719
Crossformer,0.5,0.4,96,0.7804723381996155,0.9540248513221741,0.9767419695854187,1.3077410459518433,57.352970123291016
Crossformer,0.5,0.4,192,0.7763925790786743,0.9460947513580322,0.9726740121841431,1.0984199047088623,11.07733154296875
Crossformer,0.5,0.8,96,0.8105561137199402,1.0393681526184082,1.0194940567016602,1.4619885683059692,69.04342651367188
Crossformer,0.5,0.8,192,0.8094878792762756,1.0358550548553467,1.017769694328308,1.2085418701171875,16.401113510131836
Crossformer,0.95,0.0,96,0.6342231631278992,0.6303169131278992,0.7939249873161316,2.4672939777374268,186.695556640625
Crossformer,0.95,0.0,192,0.641326904296875,0.6452858448028564,0.8032968640327454,2.3425753116607666,179.94305419921875
Crossformer,0.95,0.2,96,0.7467054128646851,0.8699100017547607,0.9326896667480469,2.2951369285583496,185.1441192626953
Crossformer,0.95,0.2,192,0.8413068056106567,1.1069722175598145,1.052127480506897,2.719600200653076,389.1281433105469
Crossformer,0.95,0.4,96,0.5914642214775085,0.5519145727157593,0.7429095506668091,5.255056381225586,9470.544921875
Crossformer,0.95,0.4,192,0.6309955716133118,0.6286172270774841,0.792853832244873,4.575795650482178,7037.85791015625
Crossformer,0.95,0.8,96,0.7123657464981079,0.7995806932449341,0.8941927552223206,4.742551326751709,5926.96533203125
Crossformer,0.95,0.8,192,0.822149932384491,1.0655229091644287,1.032241702079773,5.48865270614624,10177.20703125
PatchTST,0.5,0.0,96,0.820557713508606,1.0648515224456787,1.0319163799285889,2.345271587371826,526.6560668945312
